Trades pris : 110
Rugged : 4
Trades réussis : 80
Trades non réussis : 26
Trades en cours : -285
Solde portefeuille : 2.8902 SOL
Revenu total : 1.8109 SOL
Temps écoulé : 263 min 43 sec
Gain moyen/min : 0.0069 SOL | Gain moyen/heure : 0.4120 SOL

--- Détail des trades réussis ---
[00:46:30] https://dexscreener.com/solana/2Xo3kZcRN943Po49Gb6QdvfzKA9i5DfS6qVJs8Yspump | +0.0155 SOL | Buy: 0.00000041 | Sell: 0.00000044
[00:46:40] https://dexscreener.com/solana/G8S8eWnJto7PgBNjYC7em68KBEV4VAv1k63kV5zf8uo4 | +0.2309 SOL | Buy: 0.00000029 | Sell: 0.00000051
[00:47:39] https://dexscreener.com/solana/3Z1uPcSEuh7QNjhn9QKcWH9t3cbgJP5GSQURNXkDpump | +0.0052 SOL | Buy: 0.00000031 | Sell: 0.00000032
[00:49:23] https://dexscreener.com/solana/9uCpFUJc8ojddoAm63SmLjVCk2X2WXsTrAsWveAHMbFU | +0.0205 SOL | Buy: 0.00000014 | Sell: 0.00000015
[00:50:49] https://dexscreener.com/solana/94UZHzqSBNSBu8qqRrVQpqT9JK4WoMsxBvXRvcBejmpH | +0.1226 SOL | Buy: 0.00000027 | Sell: 0.00000038
[00:51:33] https://dexscreener.com/solana/HAVbCvz3DwNuCuCWu7YHWBWEkc5S75J1Un8i16j8pump | +0.0257 SOL | Buy: 0.00000041 | Sell: 0.00000045
[00:55:06] https://dexscreener.com/solana/9ryWri9jzkwyJbBb9ww2wWjXZWMkKv8k9kkCtMP2fsYc | +0.0117 SOL | Buy: 0.00000024 | Sell: 0.00000025
[00:56:45] https://dexscreener.com/solana/GUuEm9DgNkUgDh83mqNVCo3V7vGpc1z4D8KEMkxSpump | +0.0137 SOL | Buy: 0.00000045 | Sell: 0.00000048
[00:57:47] https://dexscreener.com/solana/6X456kTSzUw1Z5FYknXzYtCXpS7w7RwEHEfCZEcxs32V | +0.0027 SOL | Buy: 0.00000009 | Sell: 0.00000009
[01:00:53] https://dexscreener.com/solana/Cq4ebBjrHXVs2ooWGkK3TDTzJ7rJq7RH4CwFPHSypump | +0.0271 SOL | Buy: 0.00000041 | Sell: 0.00000046
[01:01:25] https://dexscreener.com/solana/Bgn7gCWLXAsnanLiMDiPfmRbfo6uRex7SqYgHQJcLAV8 | +0.1014 SOL | Buy: 0.00246329 | Sell: 0.00334413
[01:01:33] https://dexscreener.com/solana/CYAGc4PnFzn8yTX5Mg3osZpfb3VUCZYixcNyGgs2pump | +0.0172 SOL | Buy: 0.00000041 | Sell: 0.00000044
[01:03:11] https://dexscreener.com/solana/9jVJpLzRToTFpXncgLqfz4bT4Rvv1r2Xhw2LsYacMjLi | +0.0058 SOL | Buy: 0.00028224 | Sell: 0.00029207
[01:04:24] https://dexscreener.com/solana/Be5x62m3jd713sSLbZLVU2Rz336oeMa4k5WwLybQ3Je3 | +0.0189 SOL | Buy: 0.00000023 | Sell: 0.00000025
[01:05:00] https://dexscreener.com/solana/GvSr8Hyb6maPaHTuN6RrMTwqQSgFSsvM8a4s23vMpump | +0.0019 SOL | Buy: 0.00000034 | Sell: 0.00000035
[01:05:37] https://dexscreener.com/solana/HD9nwv7kM7HbRM9jCcyFuRrzhu3m5sp1wDofVFaB4Rj2 | +0.1429 SOL | Buy: 0.00000476 | Sell: 0.00000713
[01:05:49] https://dexscreener.com/solana/3dg7vFLgGXrHaGzz1VYNMvL5z8KbRWq1mFkajDyCP7PD | +0.0659 SOL | Buy: 0.00000034 | Sell: 0.00000042
[01:06:13] https://dexscreener.com/solana/Dv7nhGaqTSHZR5gBFToPueykaRkosi8N7F9fpXVtMGTS | +0.0274 SOL | Buy: 0.00000024 | Sell: 0.00000027
[01:06:26] https://dexscreener.com/solana/FJ7WVuTybqEJVHk19PW9q9y2XPSeNJKNgai3KeRk3G7u | +0.0185 SOL | Buy: 0.00170681 | Sell: 0.00183932
[01:06:50] https://dexscreener.com/solana/ALhGLJHjagHGRwhsw5rrt8g5B2apa5vRH5JXVwFbAod2 | +0.0253 SOL | Buy: 0.00000024 | Sell: 0.00000027
